Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,123.28,-96,0,top
C2,10uF,CP_EIA-3216-18_Kemet-A,63,-98.65,270,top
D1,LED,LED_0805_2012Metric,129.0625,-68,180,top
D2,1N4148,D_SOD-123,103,-102.35,270,top
D3,LED,LED_0805_2012Metric,140.3,-41.9175,180,top
D4,LED,LED_0805_2012Metric,140.3,-45.9375,180,top
D5,LED,LED_0805_2012Metric,140.3,-50.0775,180,top
D6,LED,LED_0805_2012Metric,140.3,-54.1575,180,top
D7,LED,LED_0805_2012Metric,140.3,-58.2375,180,top
D8,LED,LED_0805_2012Metric,140.3,-62.3175,180,top
D9,LED,LED_0805_2012Metric,140.3,-66.3975,180,top
D10,LED,LED_0805_2012Metric,140.3,-70.4775,180,top
R1,68,R_0805_2012Metric,124.0625,-68,180,top
R2,220,R_0805_2012Metric,103.9375,-96,0,top
R3,470,R_0805_2012Metric,122.9375,-101,0,top
R5,10K,R_0805_2012Metric,72,-95,270,top
R7,10K,R_0805_2012Metric,72,-100.0625,270,top
R8,68,R_0805_2012Metric,135.22,-41.9175,180,top
R9,68,R_0805_2012Metric,135.22,-45.9975,180,top
R10,68,R_0805_2012Metric,135.22,-50.0775,180,top
R11,68,R_0805_2012Metric,135.22,-54.1575,180,top
R12,68,R_0805_2012Metric,135.22,-58.2375,180,top
R13,68,R_0805_2012Metric,135.22,-62.3175,180,top
R14,68,R_0805_2012Metric,135.22,-66.3975,180,top
R15,68,R_0805_2012Metric,135.22,-70.4775,180,top
U1,6N138,SMDIP-8_W9.53mm,113,-100,0,top
U3,4051,SOIC-16_3.9x9.9mm_P1.27mm,54,-48,90,top
U4,4051,SOIC-16_3.9x9.9mm_P1.27mm,54,-34,90,top
U5,4051,SOIC-16_3.9x9.9mm_P1.27mm,54,-77,90,top
U6,4051,SOIC-16_3.9x9.9mm_P1.27mm,54,-62,90,top
U7,4051,SOIC-16_3.9x9.9mm_P1.27mm,79,-98,90,top
U8,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,138,-33,90,top
